,Strategy_Equity,Benchmark_Equity
2022-03-18,958429.0625,941104.25
2022-03-21,970840.25,932881.3
2022-03-22,967021.875,953971.6
2022-03-23,985379.8125,941157.56
2022-03-24,984401.875,959072.0
2022-03-25,992894.5625,959792.9
2022-03-28,981989.625,973542.25
2022-03-29,988768.625,989667.9
2022-03-30,976957.0,982005.6
2022-03-31,974468.3125,969350.7
2022-04-01,973970.0,966066.9
2022-04-04,973631.5625,985022.5
2022-04-05,1050397.875,964224.7
2022-04-06,1057644.25,939422.25
2022-04-07,1032090.25,946951.06
2022-04-08,1018147.75,930852.25
2022-04-11,1003824.875,909013.25
2022-04-12,1016278.9375,910027.75
2022-04-13,1015109.6875,924151.0
2022-04-14,1022332.875,902151.9
2022-04-18,1028204.5,911469.44
2022-04-19,1028909.8125,915474.1
2022-04-20,1019271.5,915874.6
2022-04-21,1039135.0,889897.5
2022-04-22,1033828.25,865682.44
2022-04-25,1008946.875,879511.94
2022-04-26,1034585.1875,845391.94
2022-04-27,1058700.875,856765.25
2022-04-28,1030913.8125,861677.7
2022-04-29,1043386.3125,838984.44
2022-05-02,1036903.625,849076.25
2022-05-03,1018332.25,853107.7
2022-05-04,972649.3125,879031.44
2022-05-05,991351.6875,838343.7
2022-05-06,1009670.4375,824700.94
2022-05-09,1045708.1875,796134.2
2022-05-10,1068068.375,802835.3
2022-05-11,1013457.125,781183.3
2022-05-12,960866.3125,782358.0
2022-05-13,934946.375,807107.06
2022-05-16,917112.8125,798136.56
2022-05-17,913003.25,817545.94
2022-05-18,930805.0,769703.06
2022-05-19,887150.8125,776724.7
2022-05-20,939274.9375,771438.56
2022-05-23,916615.5625,773814.6
2022-05-24,917801.0,771732.1
2022-05-25,890586.5,774028.25
2022-05-26,931060.9375,799871.9
2022-05-27,924493.8125,828839.2
2022-05-31,919817.6875,826836.9
2022-06-01,931520.125,814262.06
2022-06-02,908980.4375,841307.1
2022-06-03,887608.875,816397.9
2022-06-06,891560.1875,820589.5
2022-06-07,887306.875,824781.06
2022-06-08,889713.5625,821817.6
2022-06-09,874183.9375,800192.25
2022-06-10,878862.1875,770637.5
2022-06-13,883056.0625,738413.06
2022-06-14,888280.75,742230.9
2022-06-15,832447.6875,761319.94
2022-06-16,866724.5625,726772.75
2022-06-17,878911.0625,734194.8
2022-06-21,865720.3125,750480.56
2022-06-22,876122.625,744607.0
2022-06-23,866694.8125,758383.1
2022-06-24,857362.5625,786282.6
2022-06-27,865738.9375,782384.6
2022-06-28,880988.625,757662.4
2022-06-29,872953.0625,757235.2
2022-06-30,892252.625,748638.4
2022-07-01,907402.1875,753337.25
2022-07-05,932709.3125,764390.25
2022-07-06,895173.0625,771892.4
2022-07-07,892784.6875,785481.6
2022-07-08,892094.3125,789139.2
2022-07-11,914632.9375,772292.8
2022-07-12,949271.125,763696.0
2022-07-13,926707.5625,757475.44
2022-07-14,937703.0,769649.75
2022-07-15,934925.8125,779794.94
2022-07-18,932790.875,774775.8
2022-07-19,934889.5,799391.3
2022-07-20,924704.3125,806893.44
2022-07-21,900746.6875,814315.5
2022-07-22,907675.0625,804704.2
2022-07-25,887630.375,798002.94
2022-07-26,889391.75,797148.6
2022-07-27,890978.0625,816317.9
2022-07-28,894356.5,837249.06
2022-07-29,887406.5625,841413.94
2022-08-01,871890.125,840799.9
2022-08-02,875220.8125,837916.5
2022-08-03,880741.25,859595.25
2022-08-04,861122.9375,866135.2
2022-08-05,852904.4375,857859.94
2022-08-08,842614.5625,858687.5
2022-08-09,851146.6875,847768.06
2022-08-10,844528.1875,870381.3
2022-08-11,843627.5,866510.06
2022-08-12,835261.25,882902.6
2022-08-15,829542.375,889043.1
2022-08-16,824263.75,887201.0
2022-08-17,819857.0,874252.44
2022-08-18,815993.6875,879164.9
2022-08-19,835895.5625,858607.5
2022-08-22,818654.375,842134.75
2022-08-23,810825.3125,838317.0
2022-08-24,809639.75,840986.8
2022-08-25,823446.625,854896.4
2022-08-26,784766.75,817225.56
2022-08-29,792967.6875,815116.4
2022-08-30,826938.875,804517.25
2022-08-31,801174.4375,792369.75
2022-09-01,805515.875,800272.4
2022-09-02,816091.125,788658.7
2022-09-06,829255.5,781583.75
2022-09-07,829908.3125,797949.6
2022-09-08,838394.1875,804116.9
2022-09-09,838136.1875,819735.2
2022-09-12,825670.25,830975.0
2022-09-13,821449.4375,785187.94
2022-09-14,814684.25,792583.3
2022-09-15,844663.3125,771251.6
2022-09-16,840622.1875,775576.7
2022-09-19,851206.5625,780382.25
2022-09-20,848559.75,770851.2
2022-09-21,926648.9375,750827.7
2022-09-22,951538.5,749385.94
2022-09-23,941541.9375,736010.25
2022-09-26,943847.3125,733767.6
2022-09-27,937823.125,733847.7
2022-09-28,928326.3125,745888.5
2022-09-29,950365.4375,728695.06
2022-09-30,942666.875,714705.3
2022-10-03,935734.125,733874.44
2022-10-04,944400.3125,751868.9
2022-10-05,940961.125,756968.2
2022-10-06,989545.375,744206.56
2022-10-07,971608.1875,717241.5
2022-10-10,1041452.5,712783.06
2022-10-11,1092639.5,703064.94
2022-10-12,1077053.625,703545.44
2022-10-13,1070239.875,716520.75
2022-10-14,1132813.75,693880.8
2022-10-17,1126235.0,725731.5
2022-10-18,1158786.625,734355.0
2022-10-19,1143103.375,718309.44
2022-10-20,1177836.25,713957.75
2022-10-21,1177335.875,738413.06
2022-10-24,1158484.5,743298.8
2022-10-25,1183615.5,742951.75
2022-10-26,1209323.75,744874.0
2022-10-27,1249919.875,721540.0
2022-10-28,1274835.125,752936.75
2022-10-31,1266000.0,743245.44
2022-11-01,1259355.0,734355.0
2022-11-02,1338184.5,708004.06
2022-11-03,1353933.25,694548.25
2022-11-04,1325176.125,706028.44
2022-11-07,1317856.25,716921.2
2022-11-08,1309818.625,720178.4
2022-11-09,1291213.375,705307.56
2022-11-10,1291472.75,756914.8
2022-11-11,1312501.375,769382.7
2022-11-14,1301743.5,763295.56
2022-11-15,1310753.0,768475.0
2022-11-16,1301057.875,764817.44
2022-11-17,1288701.375,762067.5
2022-11-18,1290414.875,759958.3
2022-11-21,1282031.75,753897.9
2022-11-22,1293255.375,762574.8
2022-11-23,1301456.25,773040.4
2022-11-25,1288426.625,765778.5
2022-11-28,1289613.75,755740.1
2022-11-29,1301634.375,749119.0
2022-11-30,1302983.25,784333.6
2022-12-01,1323762.25,781076.5
2022-12-02,1326168.75,779581.4
2022-12-05,1322832.0,769409.5
2022-12-06,1327006.875,752749.94
2022-12-07,1316331.125,746956.44
2022-12-08,1318791.0,756888.06
2022-12-09,1301438.75,752563.0
2022-12-12,1310131.25,762521.3
2022-12-13,1302033.375,772212.7
2022-12-14,1277519.125,766846.5
